BANK,,,,-BANK,,,"-BANK,-Credit Union,-MORTGAGE,-WELLS FARGO,-KIAVI FUNDING INC,-TEXAS STATE AFFORDABLE HOUSING CORPORATION",,,,
Credit Union,,,,-Credit Union,,,,,,,
MORTGAGE,,,,-MORTGAGE,,,,,,,
WELLS FARGO,,,,-WELLS FARGO,,,,,,,
KIAVI FUNDING INC,,,,-KIAVI FUNDING INC,,,,,,,
TEXAS STATE AFFORDABLE HOUSING CORPORATION,,,,-TEXAS STATE AFFORDABLE HOUSING CORPORATION,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,